#date precip TMax Tmin
   
19490612 0.00 74 46
19490613 0.00 74 47
19490614 0.00 80 47
19490615 0.00 68 43
19490616 0.09 65 44
19490617 0.16 73 44
19490618 0.00 77 46
19490619 0.02 66 49
19490620 0.03 71 52
19490621 0.00 74 49
19490622 0.00 63 51
19490623 0.00 68 51
19490624 0.01 64 47
19490625 0.01 64 45
19490626 0.28 63 46
19490627 0.01 61 45
19490628 0.17 61 45
19490629 0.02 64 45
19490630 0.00 73 43
19490701 0.00 70 45
19490702 0.00 72 48
19490703 0.00 75 45
19490704 0.00 72 43
19490705 0.00 68 50
19490706 0.00 69 45
19490707 0.00 74 50
19490708 0.00 80 49
19490709 0.00 83 54
19490710 0.00 82 50
19490711 0.00 75 52
19490712 0.00 83 49
19490713 0.00 86 50
19490714 0.00 85 57
19490715 0.00 78 55
19490716 0.00 72 54
19490717 0.00 77 51
19490718 0.07 68 53
19490719 0.07 66 53
19490720 0.00 69 52
19490721 0.00 71 50
19490722 0.00 68 54
19490723 0.54 66 55
19490724 0.05 70 52
19490725 0.11 62 54
19490726 0.11 65 51
19490727 0.09 69 50
19490728 0.00 75 51
19490729 0.00 80 51
19490730 0.00 80 55
19490731 0.00 86 56
19490801 0.00 92 62
19490802 0.00 74 55
19490803 0.00 71 55
19490804 0.02 73 55
19490805 0.00 74 53
19490806 0.08 66 54
19490807 0.01 67 53
19490808 0.00 73 54
19490809 0.00 74 51
19490810 0.00 73 53
19490811 0.01 70 57
19490812 0.06 68 49
19490813 0.00 72 51
19490814 0.00 71 48
19490815 0.00 78 50
19490816 0.00 72 58
19490817 0.00 77 54
19490818 0.00 77 52
19490819 0.00 81 50
19490820 0.00 73 52
19490821 0.00 73 55
19490822 0.00 75 49
19490823 0.00 76 50
19490824 0.25 70 49
19490825 0.00 71 53
19490826 0.00 76 48
19490827 0.00 80 52
19490828 0.00 85 56
19490829 0.00 83 55
19490830 0.02 68 53
19490831 0.00 75 55
19490901 0.00 78 50
19490902 0.00 77 51
19490903 0.00 82 59
19490904 0.00 83 62
19490905 0.00 81 61
19490906 0.00 87 55
19490907 0.00 85 53
19490908 0.00 75 51
19490909 0.00 70 54
19490910 0.00 67 53
19490911 0.00 68 45
19490912 0.00 76 44
19490913 0.00 79 47
19490914 0.73 61 52
19490915 0.35 60 51
19490916 0.23 62 48
19490917 0.00 61 47
19490918 0.08 63 51
19490919 0.02 62 49
19490920 0.00 65 40
19490921 0.00 68 46
19490922 0.00 73 44
19490923 0.00 73 46
19490924 0.00 60 51
19490925 0.00 66 51
19490926 0.00 77 46
19490927 0.00 82 50
19490928 0.00 64 54
19490929 0.00 65 55
19490930 0.02 60 49
19491001 0.00 65 49
19491002 0.00 65 43
19491003 0.14 56 39
19491004 0.74 54 47
19491005 0.00 61 44
19491006 0.20 53 42
19491007 0.15 57 41
19491008 0.00 53 39
19491009 0.18 60 43
19491010 0.12 56 41
19491011 0.04 59 46
19491012 0.00 60 43
19491013 0.00 57 37
19491014 0.00 63 36
19491015 0.20 59 42
19491016 0.00 53 41
19491017 0.05 51 34
19491018 0.00 48 32
19491019 0.00 50 28
19491020 0.00 53 29
19491021 0.00 55 32
19491022 0.00 60 39
19491023 0.00 47 41
19491024 0.00 52 42
19491025 0.00 48 42
19491026 0.17 52 44
19491027 1.17 57 48
19491028 0.69 58 48
19491029 0.00 57 41
19491030 0.00 65 41
19491031 0.00 71 42
19491101 0.00 63 40
19491102 0.00 69 38
19491103 0.00 69 38
19491104 0.00 74 41
19491105 0.00 65 40
19491106 0.00 55 39
19491107 0.01 52 38
19491108 0.06 51 44
19491109 0.26 51 39
19491110 0.27 51 42
19491111 0.69 55 45
19491112 1.38 50 44
19491113 0.23 54 49
19491114 0.12 56 47
19491115 0.00 53 44
19491116 0.00 66 43
19491117 0.00 56 43
19491118 0.06 53 45
19491119 0.00 50 45
19491120 0.00 49 39
19491121 0.00 54 35
19491122 0.67 54 39
19491123 0.22 52 47
19491124 0.15 58 48
19491125 0.30 59 47
19491126 1.17 61 48
19491127 0.37 54 46
19491128 0.42 49 43
19491129 0.37 50 40
19491130 0.03 52 43
19491201 0.43 55 48
19491202 0.00 49 38
19491203 0.00 45 30
19491204 0.00 54 41
19491205 0.10 47 35
19491206 0.00 45 31
19491207 0.00 45 34
19491208 0.02 44 27
19491209 0.07 43 32
19491210 0.01 38 25
19491211 0.13 34 24
19491212 0.11 37 31
19491213 0.00 45 36
19491214 0.00 49 38
19491215 0.15 43 33
19491216 0.21 40 35
19491217 0.10 42 33
19491218 0.30 34 24
19491219 0.00 30 17
19491220 0.07 37 22
19491221 0.02 44 35
19491222 0.01 47 42
19491223 1.14 47 36
19491224 0.03 42 32
19491225 0.23 43 37
19491226 0.12 42 39
19491227 1.27 48 41
19491228 0.26 52 44
19491229 0.22 54 32
19491230 0.23 38 29
19491231 0.07 36 29
19500101 0.25 32 24
19500102 0.01 24 6
19500103 0.10 26 6
19500104 0.00 28 14
19500105 0.08 38 22
19500106 0.95 39 35
19500107 0.31 37 33
19500108 0.22 33 31
19500109 0.13 35 30
19500110 0.33 42 31
19500111 0.05 35 29
19500112 0.00 32 18
19500113 1.27 19 11
19500114 0.16 16 8
19500115 0.02 21 15
19500116 0.00 22 13
19500117 0.00 24 15
19500118 0.29 25 9
19500119 1.07 42 24
19500120 1.46 48 37
19500121 0.43 48 42
19500122 0.47 45 36
19500123 0.04 36 25
19500124 0.00 26 10
19500125 0.24 24 7
19500126 1.03 35 21
19500127 0.00 28 19
19500128 0.00 25 7
19500129 0.00 24 6
19500130 0.00 22 7
19500131 0.00 20 0
19500201 0.00 27 1
19500202 0.00 30 8
19500203 0.01 35 8
19500204 0.27 41 33
19500205 0.07 43 34
19500206 0.29 40 35
19500207 0.08 46 35
19500208 0.60 44 35
19500209 0.02 45 37
19500210 0.21 42 36
19500211 0.00 44 39
19500212 0.79 44 38
19500213 0.23 52 41
19500214 0.28 54 42
19500215 0.45 54 46
19500216 0.15 50 39
19500217 0.01 54 39
19500218 0.04 52 38
19500219 0.00 46 34
19500220 0.03 46 36
19500221 0.06 47 37
19500222 0.02 50 40
19500223 0.83 49 39
19500224 0.15 49 41
19500225 0.80 58 41
19500226 0.35 53 36
19500227 0.00 46 31
19500228 0.00 50 29
19500301 0.00 55 35
19500302 0.27 50 39
19500303 2.08 56 46
19500304 0.85 47 42
19500305 0.36 49 40
19500306 0.00 46 36
19500307 0.00 46 28
19500308 0.06 47 36
19500309 0.11 44 35
19500310 0.04 42 31
19500311 0.00 41 27
19500312 0.03 43 32
19500313 0.12 47 33
19500314 0.00 49 39
19500315 0.05 49 40
19500316 0.98 49 42
19500317 1.05 54 40
19500318 0.88 46 40
19500319 0.17 52 38
19500320 0.19 46 33
19500321 0.23 49 34
19500322 0.08 45 36
19500323 0.23 46 34
19500324 0.03 50 35
19500325 0.00 51 35
19500326 0.36 46 38
19500327 0.01 47 36
19500328 0.00 47 31
19500329 0.00 52 28
19500330 0.06 45 41
19500331 0.16 50 41
19500401 0.04 51 41
19500402 0.10 47 38
19500403 0.00 52 35
19500404 0.00 61 32
19500405 0.10 62 39
19500406 0.02 52 37
19500407 0.00 57 37
19500408 0.05 50 40
19500409 0.00 52 38
19500410 0.00 58 34
19500411 0.30 58 43
19500412 0.61 54 41
19500413 0.00 57 38
19500414 0.08 51 38
19500415 0.75 49 43
19500416 0.41 53 42
19500417 0.02 52 40
19500418 0.00 61 34
19500419 0.00 74 45
19500420 0.00 56 35
19500421 0.00 50 33
19500422 0.03 50 35
19500423 0.00 52 33
19500424 0.00 57 30
19500425 0.04 54 40
19500426 0.08 46 38
19500427 0.24 52 37
19500428 0.00 60 34
19500429 0.00 66 36
19500430 0.05 63 38
19500501 0.08 55 41
